#,English/Russian,POS,Level,Serbian
1,"a, an / , один","indefinite, article",A1,", један"
2,abandon / Покинуть,Verb,B2,напустити
3,ability / способность,Noun,A2,способност
4,able / способный,Adjective,A2,способан
5,about / О,prep. Adverb,A1,О томе
6,above / выше,prep. Adverb,A1,изнад
7,abroad / зарубежные страны,Adverb,A2,иностранство
8,absolute / абсолютный,Adjective,B2,апсолутан
9,absolutely / абсолютно,Adverb,B1,апсолутно
10,academic / академически,"adj, Noun","B1, B2",академски
11,accept / принимать,Verb,A2,прихватити
12,acceptable / приемлемый,Adjective,B2,прихватљив
13,access / доступ,Noun Verb,B1,приступ
14,accident / несчастный случай,Noun,A2,незгода
15,accommodation / проживание,Noun,B1,смештај
16,accompany / следить,Verb,B2,пратити
17,according to / согласно с,prep.,A2,према
18,account / законопроект,Noun Verb,"B1, B2",рачун
19,accurate / правильный,Adjective,B2,тачан
20,accuse / обвинять,Verb,B2,оптужити
21,achieve / достигать,Verb,A2,постићи
22,achievement / достижение,Noun,B1,достигнуће
23,acknowledge / признавать,Verb,B2,признати
24,acquire / приобрести,Verb,B2,стећи
25,across / через,prep. Adverb,A1,широм
26,act / оказывать воздействие,Verb Noun,"A2,B1",деловати
27,action / процедура,Noun,A1,поступак
28,active / активный,Adjective,A2,активан
29,activity / Мероприятия,Noun,A1,активност
30,actor / актер,Noun,A1,глумац
31,actress / актриса,Noun,A1,глумица
32,actual / Текущий,Adjective,B2,актуелан
33,actually / фактически,Adverb,A2,заправо
34,ad / рекламные ролики,Noun,B1,реклама
35,adapt / адаптироваться к,Verb,B2,прилагодити
36,add / добавлять,Verb,A1,додати
37,addition / добавление,Noun,B1,додатак
38,additional / дополнительный,Adjective,B2,додатни
39,address / адрес,Noun Verb,"A1,B2",адреса
40,administration / администрация,Noun,B2,администрација
41,admire / восхищаться,Verb,B1,дивити се
42,admit / отпустить,Verb,B1,пустити
43,adopt / усыновить,Verb,B2,усвојити
44,adult / взрослый,Noun adj,"A1,A2",одрасла особа
45,Advance / Заблаговременно,Noun Verb adj,B2,unapred
46,Advanced / передовой,Adjective,B1,напредан
47,Advantage / Преимущество,Noun,A2,предност
48,Adventure / приключение,Noun,A2,авантура
49,Advertise / рекламировать,Verb,A2,рекламирати
50,Advertisement / Рекламные ролики,Noun,A2,Реклама
51,Advertising / реклама,Noun,A2,оглашавање
52,Advice / совет,Noun Verb,"A1, B1",савет
53,affair / роман,Noun,B2,афера
54,affect / влиять,Verb,A2,утицати
55,afford / предоставлять,Verb,B1,приуштити
56,afraid / испуганный,Adjective,A1,уплашен
57,after / после,prep. conj. Adverb,"A1,A2",после
58,afternoon / днем,Noun,A1,поподневни
59,afterwards / после,Adverb,B2,после
60,again / опять таки,Adverb,A1,опет
61,against / против,prep,A2,против
62,age / возраст,Noun Verb,"A1, B1",старост
63,aged / возраст,Adjective,B1,старости
64,agency / агентство,Noun,B2,агенција
65,agenda / повестка дня,Noun,B2,дневни ред
66,agent / представитель,Noun,B1,заступник
67,aggressive / агрессивный,Adjective,B2,агресиван
68,ago / до,Adverb,A1,пре
69,agree / соглашаться,Verb,A1,договорити се
70,agreement / соглашение,Noun,B1,договор
71,ah / Ах,exclam.,A2,Ах
72,ahead / вперед,Adverb,B1,напред
73,aid / помощь,Noun Verb,B2,помоћ
74,aim / цель,Verb Noun,B1,циљ
75,air / воздуха,Noun,A1,ваздух
76,aircraft / самолет,Noun,B2,авион
77,airline / воздушная линия,Noun,A2,ваздушна линија
78,airport / аэропорт,Noun,A1,аеродром
79,alarm / тревога,Noun Verb,"B1, B2",алармни
80,album / альбом,Noun,B1,албум
81,alcohol / алкоголь,Noun,B1,алкохол
82,alcoholic / алкоголик,Adjective,B1,алкохоличар
83,alive / в живых,Adjective,A2,жив
84,all / все,"det. pron, Adverb","A1, A2",све
85,all right / ХОРОШО,"Adjective, Adverb exclam",A2,У реду
86,allow / позволять,Verb,A2,допустити
